524047 05:35:16 +11:41:00 193.535707 -11.071072 galactic
936996 10:15:51 +49:34:00 165.250854 52.779017 galactic
927267 13:49:23 +48:19:00 98.785362 66.004900 galactic
808174 02:19:10 +36:09:00 142.122101 -23.431188 galactic
766502 19:53:04 +32:04:00 68.077937 2.390492 galactic
592934 04:24:44 +17:18:00 178.512564 -21.835045 galactic
388781 03:03:39 +01:28:00 176.337577 -47.226369 galactic
904346 00:05:50 +45:49:00 114.678092 -16.322943 galactic
38103 01:15:15 -26:37:00 208.780324 -84.665749 galactic
691373 03:32:12 +25:25:00 162.852587 -24.730673 galactic
123785 05:02:35 -19:34:00 219.843558 -32.425840 galactic
1058425 08:45:36 +67:41:00 147.179648 35.682740 galactic
834497 09:28:07 +38:31:00 184.466112 46.368190 galactic
946147 00:29:55 +50:33:00 119.437542 -12.175673 galactic
712615 02:52:25 +27:18:00 153.485599 -28.298948 galactic
601103 03:35:56 +17:55:00 169.107823 -29.843390 galactic
425887 07:45:05 +04:07:00 215.386972 13.805448 galactic
496736 08:48:10 +09:27:00 217.789497 30.193723 galactic
1079320 09:15:12 +72:14:00 140.810224 36.415352 galactic
815760 10:52:27 +36:19:00 185.434349 63.210819 galactic
157166 11:21:57 -16:53:00 274.112246 40.927175 galactic
507704 12:32:48 +10:23:00 287.355077 72.689012 galactic
311939 12:38:26 -04:26:00 296.757753 58.282431 galactic
800186 13:16:15 +35:10:00 91.052030 80.372178 galactic
346531 13:35:47 -02:00:00 324.822738 58.974047 galactic
550056 13:54:44 +13:52:00 354.162212 70.150763 galactic
682523 14:59:53 +24:45:00 35.523956 61.103243 galactic
798615 15:55:59 +35:04:00 56.113945 50.062509 galactic
725116 15:52:59 +28:27:00 45.750352 50.067332 galactic
290822 16:58:56 -06:12:00 13.470050 21.583283 galactic
846861 18:29:16 +39:57:00 68.104957 21.020127 galactic
212139 18:41:24 -12:39:00 20.528459 -3.545211 galactic
618813 19:14:38 +19:19:00 52.724331 3.782857 galactic
182950 21:03:22 -14:46:00 33.863258 -35.782573 galactic
73091 23:00:39 -23:56:00 34.007735 -64.855267 galactic
366868 23:34:35 -00:23:00 85.155959 -57.505803 galactic
481005 23:52:24 +08:23:00 98.927855 -51.715651 galactic
857005 22:01:53 +40:40:00 91.461407 -11.621919 galactic
670703 15:04:02 +23:40:00 33.800102 59.941480 galactic
560623 15:01:22 +14:40:00 17.156412 57.325020 galactic
531414 17:16:35 +12:20:00 33.633408 26.555218 galactic
288692 17:10:38 -06:30:00 14.842344 18.959506 galactic
1075250 09:44:26 +71:10:00 140.526450 38.933790 galactic
423933 09:59:28 +04:00:00 234.626608 42.937039 galactic
964622 19:56:12 +52:50:00 86.500448 12.324279 galactic
928487 10:14:44 +48:30:00 167.005761 53.003295 galactic
861900 22:03:04 +41:10:00 91.953590 -11.362409 galactic
859611 12:18:28 +41:00:00 146.907433 74.557017 galactic
832949 11:31:49 +38:20:00 174.006697 69.922610 galactic
807410 15:51:25 +35:50:00 57.296949 51.004495 galactic
799762 07:30:10 +35:10:00 183.757017 22.642997 galactic
703738 12:19:43 +26:30:00 216.205484 82.895776 galactic
666466 11:44:16 +23:20:00 223.257096 74.356558 galactic
660718 14:19:20 +22:50:00 25.601976 69.653118 galactic
622884 19:13:16 +19:40:00 52.887293 4.229860 galactic
611680 07:23:45 +18:50:00 199.334429 15.400574 galactic
604800 22:48:12 +18:10:00 86.092580 -35.740776 galactic
367971 11:50:01 -00:20:00 272.169937 58.820568 galactic
1101813 09:02:41 +79:10:00 133.737063 32.581570 galactic
983114 10:18:51 +55:20:00 156.571112 50.637261 galactic
